year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
2000,7.6,9.1,10.8,11.5,16.2,18.8,19.1,21.1,18.4,13.4,9.6,7.7,8.02,12.84,19.7,13.79,13.63
2001,5.9,7.7,8.2,11.2,17.0,18.4,21.3,21.0,16.7,16.2,10.6,6.6,7.09,12.18,20.27,14.52,13.45
2002,8.3,9.8,11.1,13.7,15.6,18.3,20.0,21.1,18.4,13.4,11.0,7.4,8.18,13.47,19.83,14.27,14.04
2003,6.9,7.2,12.0,14.3,16.2,20.5,21.6,23.0,19.6,13.0,11.1,7.8,7.18,14.13,21.74,14.54,14.47
2004,7.7,7.9,9.9,13.2,16.6,19.8,20.0,21.4,18.6,13.7,10.2,8.3,7.82,13.24,20.4,14.15,13.96
2005,8.6,6.8,10.1,12.9,15.6,19.9,20.8,20.9,19.3,15.9,9.7,7.4,7.92,12.89,20.54,14.95,14.03
2006,6.5,6.3,7.9,12.4,16.1,20.8,25.2,20.1,20.7,16.1,11.5,8.8,6.76,12.15,22.04,16.09,14.41
2007,9.5,8.9,11.0,16.3,16.0,19.0,19.2,20.0,18.0,14.5,10.6,7.8,9.06,14.38,19.42,14.35,14.24
2008,9.2,9.5,9.4,12.0,17.7,18.5,20.6,19.8,17.2,13.4,9.5,6.3,8.81,13.03,19.65,13.37,13.61
2009,5.8,6.8,10.9,14.2,16.5,19.5,20.3,21.0,18.3,14.8,11.1,5.8,6.31,13.87,20.28,14.74,13.79
2010,3.7,5.5,9.8,13.8,15.4,20.3,21.6,19.6,17.7,13.8,8.0,2.7,4.98,12.98,20.49,13.18,12.68
2011,6.3,8.9,10.8,16.9,16.7,18.7,19.8,19.6,19.2,16.0,12.2,8.5,5.85,14.77,19.4,15.82,14.5
2012,8.3,7.1,12.8,11.1,16.0,17.1,19.3,20.7,17.4,12.7,9.5,7.6,8.01,13.32,19.07,13.21,13.33
2013,5.8,5.7,5.5,11.5,14.8,18.1,23.6,21.5,17.9,15.3,9.3,9.3,6.38,10.59,21.07,14.15,13.23
2014,8.3,8.9,11.8,14.1,16.2,19.7,22.7,19.4,19.4,15.6,11.1,8.1,8.80,14.04,20.64,15.38,14.64
2015,7.4,7.0,10.0,14.0,15.0,19.0,20.4,20.3,17.1,14.4,12.1,12.0,7.50,12.98,19.89,14.53,14.09
2016,8.2,8.0,9.4,11.6,16.8,18.8,21.1,21.5,19.8,14.2,8.9,9.1,9.46,12.62,20.48,14.34,13.99
2017,6.7,8.6,12.1,13.5,17.5,20.3,20.9,20.0,17.3,15.3,9.9,7.6,8.13,14.39,20.4,14.2,14.18
2018,7.9,5.7,7.9,13.2,18.4,21.1,24.8,21.3,18.1,14.6,10.8,9.2,7.07,13.15,22.4,14.5,14.46
2019,6.6,10.9,11.3,13.7,15.9,18.6,22.4,21.7,18.5,13.3,8.8,8.5,8.83,13.65,20.91,13.56,14.2
2020,8.8,9.3,10.4,15.6,18.1,19.5,20.0,21.7,18.6,13.4,11.5,7.4,8.87,14.69,20.41,14.48,14.54
2021,5.7,7.9,10.6,11.5,14.3,19.9,22.1,19.8,20.2,15.2,10.5,8.6,6.96,12.16,20.65,15.27,13.89
2022,8.0,,,,,,,,,,,,,,,,
